match_id,puuid,name,placement,total_damage_to_players,players_eliminated,traits,units
NA1_5268755014,8JV3oY85waejFoahO4QRSBQwDtUnQgwCL2DjCpuxmD9Ie3brphJPIlr3JcHNLn-AiYuniiKK6uU2kw,Eternity#NA2,7,33,0,TFT14_Armorclad(2); TFT14_EdgeRunner(3); TFT14_HotRod(4); TFT14_Marksman(2); TFT14_Supercharge(2); TFT14_Swift(1); TFT14_Techie(1); TFT14_Thirsty(2),"TFT14_NidaleeCougar[tier:3, items:]; TFT14_Kindred[tier:3, items:]; TFT14_Jax[tier:2, items:TFT_Item_ChainVest]; TFT14_Shyvana[tier:3, items:TFT_Item_AdaptiveHelm,TFT_Item_RedBuff,TFT_Item_Redemption]; TFT14_Jhin[tier:3, items:TFT_Item_InfinityEdge,TFT_Item_RecurveBow]; TFT14_Naafiri[tier:3, items:TFT_Item_InfinityEdge,TFT_Item_Bloodthirster,TFT14_NaafiriCyberneticItem]; TFT14_Elise[tier:3, items:TFT_Item_BlueBuff]; TFT14_SummonLevel2[tier:3, items:TFT14_Item_Nitro_ChromeCounter]; TFT14_Elise[tier:3, items:]"
NA1_5268755014,ArDzQZPIFAn6TBbsdyDMaoM6uIcMp0BQPAWwlnTUUORO7j-FgHFTK7fuFHuOkZwUx1POcfwAykz3mw,Hallgaar#NA1,8,38,0,TFT14_BallisTek(2); TFT14_Bruiser(6); TFT14_Controller(1); TFT14_Cyberboss(2); TFT14_Divinicorp(1); TFT14_EdgeRunner(1); TFT14_Immortal(1); TFT14_Mob(1); TFT14_Techie(2),"TFT14_Alistar[tier:2, items:]; TFT14_Darius[tier:2, items:TFT_Item_Redemption,TFT_Item_RedBuff]; TFT14_Mordekaiser[tier:2, items:TFT_Item_ZekesHerald,TFT_Item_TitansResolve]; TFT14_Fiddlesticks[tier:2, items:TFT_Item_Bloodthirster]; TFT14_Gragas[tier:3, items:TFT_Item_JeweledGauntlet,TFT_Item_Bloodthirster,TFT_Item_ArchangelsStaff]; TFT14_Ziggs[tier:1, items:TFT_Item_JeweledGauntlet]; TFT14_Chogath[tier:2, items:]; TFT14_Kobuko[tier:1, items:TFT_Item_ThiefsGloves,TFT_Item_AdaptiveHelm,TFT_Item_PowerGauntlet]"
NA1_5268755014,BXAbUTlXwv9DrYjjZipHPOM5jlJVmXEP5tsIvgtpZu3dR6b1BBPbMmSdTXaLhFBekbH1JwQ6hdj_oA,Vakin#NA1,2,82,1,TFT14_AnimaSquad(3); TFT14_Bruiser(1); TFT14_Controller(1); TFT14_Cutter(1); TFT14_Immortal(6); TFT14_Marksman(2); TFT14_Strong(1); TFT14_Supercharge(2); TFT14_Techie(1); TFT14_Vanguard(2); TFT14_ViegoUniqueTrait(1),"TFT14_Alistar[tier:3, items:]; TFT14_Graves[tier:3, items:TFT_Item_TitansResolve,TFT_Item_Bloodthirster]; TFT14_Jarvan[tier:2, items:]; TFT14_Yuumi[tier:2, items:]; TFT14_Xayah[tier:2, items:]; TFT14_Annie[tier:3, items:TFT_Item_Leviathan,TFT_Item_SpearOfShojin,TFT_Item_AdaptiveHelm]; TFT14_Leona[tier:2, items:TFT_Item_SpectralGauntlet,TFT_Item_RedBuff,TFT_Item_FrozenHeart]; TFT14_Aphelios[tier:2, items:TFT_Item_InfinityEdge,TFT_Item_RunaansHurricane,TFT_Item_LastWhisper]; TFT14_Viego[tier:2, items:TFT_Item_UnstableConcoction,TFT_Item_GuardianAngel,TFT_Item_Bloodthirster]; TFT14_Garen[tier:2, items:TFT_Item_SteraksGage]"
NA1_5268755014,3VabpW1yg-iRG7HSlriK5QKRrMFcB_dG20l-Mdfa6d0eOWx_zUxYxcxyVoXskDOZdl9kEz0ARnk6Dg,Mai#001,1,60,2,TFT14_AnimaSquad(1); TFT14_Armorclad(1); TFT14_BallisTek(1); TFT14_Bruiser(2); TFT14_Cyberboss(2); TFT14_EdgeRunner(1); TFT14_HotRod(1); TFT14_Immortal(1); TFT14_Netgod(0); TFT14_StreetDemon(2); TFT14_Techie(8); TFT14_ViegoUniqueTrait(1),"TFT14_Zyra[tier:2, items:]; TFT14_Seraphine[tier:3, items:TFT_Item_SpearOfShojin,TFT_Item_RabadonsDeathcap,TFT_Item_Leviathan]; TFT14_Veigar[tier:2, items:TFT_Item_NeedlesslyLargeRod,TFT_Item_MadredsBloodrazor,TFT_Item_MadredsBloodrazor]; TFT14_Shyvana[tier:2, items:]; TFT14_Mordekaiser[tier:1, items:]; TFT14_Fiddlesticks[tier:1, items:]; TFT14_Brand[tier:2, items:TFT_Item_RapidFireCannon,TFT_Item_SpearOfShojin,TFT_Item_JeweledGauntlet]; TFT14_Kobuko[tier:2, items:TFT_Item_RedBuff,TFT_Item_IonicSpark,TFT_Item_WarmogsArmor]; TFT14_Viego[tier:2, items:TFT_Item_GuardianAngel]; TFT14_Ziggs[tier:1, items:TFT_Item_SpearOfShojin]"
NA1_5268755014,d3ls-zl-sDdOXB4sQZ22Dx4XorqxDrVJq-fXK-_pwQ0We2hENGdiFj-I2NS9HNVXDV-qL1CgNuZEQA,LunaLush#Heyyy,6,45,1,TFT14_Armorclad(2); TFT14_BallisTek(1); TFT14_Bruiser(1); TFT14_Controller(1); TFT14_Cyberboss(3); TFT14_EdgeRunner(1); TFT14_HotRod(1); TFT14_Immortal(1); TFT14_StreetDemon(1); TFT14_Techie(6); TFT14_ViegoUniqueTrait(1),"TFT14_Poppy[tier:3, items:TFT5_Item_ZzRotPortalRadiant]; TFT14_Veigar[tier:3, items:TFT_Item_SpearOfShojin,TFT_Item_JeweledGauntlet,TFT_Item_BlueBuff]; TFT14_Shyvana[tier:2, items:TFT_Item_DragonsClaw]; TFT14_Mordekaiser[tier:2, items:TFT_Item_RedBuff,TFT_Item_WarmogsArmor,TFT_Item_GargoyleStoneplate]; TFT14_Fiddlesticks[tier:2, items:TFT5_Item_ZzRotPortalRadiant]; TFT14_Brand[tier:1, items:TFT_Item_SpearOfShojin,TFT_Item_JeweledGauntlet,TFT_Item_PowerGauntlet]; TFT14_Ziggs[tier:1, items:TFT_Item_SpearOfShojin,TFT_Item_StatikkShiv,TFT_Item_JeweledGauntlet]; TFT14_Viego[tier:1, items:TFT_Item_NeedlesslyLargeRod]; TFT14_Neeko[tier:1, items:TFT_Item_RedBuff]"
NA1_5268755014,NdRwQY_-GrTWDENUPgzSlhYV3dlKDLTXHdpI0n2Kvf1pKhFdgZ_vIsgEK1L2frsH0X-F-TNLGmHKbQ,WillScissor4Tank#NA1,5,50,1,TFT14_BallisTek(2); TFT14_Bruiser(2); TFT14_Divinicorp(1); TFT14_Mob(6); TFT14_Strong(1); TFT14_Swift(2); TFT14_Techie(1); TFT14_Thirsty(1); TFT14_Vanguard(2),"TFT14_Shaco[tier:3, items:TFT_Item_SteraksGage,TFT_Item_Bloodthirster]; TFT14_KogMaw[tier:2, items:]; TFT14_TwistedFate[tier:3, items:TFT_Item_HextechGunblade,TFT_Item_GuinsoosRageblade,TFT_Item_GuinsoosRageblade]; TFT14_Darius[tier:3, items:TFT_Item_NightHarvester,TFT_Item_WarmogsArmor,TFT_Item_Redemption]; TFT14_Skarner[tier:3, items:TFT_Item_IonicSpark,TFT_Item_RadiantVirtue,TFT_Item_RedBuff]; TFT14_Braum[tier:3, items:TFT_Item_ThiefsGloves,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor]; TFT14_Gragas[tier:2, items:]; TFT14_MissFortune[tier:2, items:]"
NA1_5268755014,DwyMQveLwxsEFAPJPZoeDAoxKFFYZLNrqReFCkrHaN-7aukzRApBKpEh0W5TQ4-0YrJhbeuIBKjDrQ,Rampasuuu#Wut,4,58,2,"","TFT14_Renekton[tier:1, items:]; TFT14_Garen[tier:2, items:]; TFT14_Garen[tier:1, items:]; TFT14_Garen[tier:2, items:]; TFT14_Garen[tier:1, items:]"
NA1_5268755014,jAWX2xyR7gN1-bhGsgt40oZjDYoGMi4TWeJ_LQ2ghn35Sy3OZYJg8kxE4DQEK_tmGc0RazFPYNQTSw,UrBoiTT#XBC,3,88,2,TFT14_AnimaSquad(3); TFT14_Bruiser(1); TFT14_Divinicorp(2); TFT14_Immortal(1); TFT14_StreetDemon(1); TFT14_Strong(5); TFT14_Suits(1); TFT14_Vanguard(4),"TFT14_DrMundo[tier:2, items:]; TFT14_Sylas[tier:3, items:]; TFT14_Vayne[tier:3, items:TFT_Item_MadredsBloodrazor,TFT5_Item_GuinsoosRagebladeRadiant,TFT_Item_GuinsoosRageblade]; TFT14_Rhaast[tier:3, items:]; TFT14_Senna[tier:3, items:TFT_Item_LastWhisper]; TFT14_Jarvan[tier:2, items:TFT_Item_WarmogsArmor,TFT_Item_RedBuff,TFT_Item_GargoyleStoneplate]; TFT14_Zed[tier:2, items:TFT_Item_UnstableConcoction,TFT_Item_InfinityEdge,TFT_Item_TitansResolve]; TFT14_Leona[tier:2, items:]"
NA1_5268734781,d3ls-zl-sDdOXB4sQZ22Dx4XorqxDrVJq-fXK-_pwQ0We2hENGdiFj-I2NS9HNVXDV-qL1CgNuZEQA,LunaLush#Heyyy,6,19,0,TFT14_Armorclad(6); TFT14_Controller(1); TFT14_Cyberboss(3); TFT14_Divinicorp(1); TFT14_EdgeRunner(2); TFT14_HotRod(1); TFT14_Overlord(1); TFT14_Suits(1); TFT14_Techie(2),"TFT14_Jax[tier:3, items:TFT_Item_UnstableTreasureChest]; TFT14_Poppy[tier:3, items:TFT_Item_Bloodthirster,TFT_Item_JeweledGauntlet,TFT_Item_UnstableConcoction]; TFT14_Veigar[tier:3, items:TFT_Item_GuinsoosRageblade,TFT_Item_AdaptiveHelm,TFT_Item_BlueBuff]; TFT14_Shyvana[tier:2, items:]; TFT14_Galio[tier:2, items:]; TFT14_Sejuani[tier:1, items:TFT_Item_GargoyleStoneplate]; TFT14_Ziggs[tier:1, items:TFT_Item_PowerGauntlet,TFT_Item_SpearOfShojin,TFT_Item_HextechGunblade]; TFT14_Renekton[tier:1, items:]"
NA1_5268734781,NdRwQY_-GrTWDENUPgzSlhYV3dlKDLTXHdpI0n2Kvf1pKhFdgZ_vIsgEK1L2frsH0X-F-TNLGmHKbQ,WillScissor4Tank#NA1,5,40,0,TFT14_AnimaSquad(1); TFT14_Armorclad(2); TFT14_EdgeRunner(2); TFT14_HotRod(4); TFT14_Marksman(2); TFT14_Mob(1); TFT14_Supercharge(1); TFT14_Swift(1); TFT14_Techie(1); TFT14_Thirsty(4); TFT14_Virus(1),"TFT14_NidaleeCougar[tier:2, items:TFT_Item_TitansResolve]; TFT14_Kindred[tier:2, items:]; TFT14_Shyvana[tier:2, items:]; TFT14_Jhin[tier:2, items:]; TFT14_Elise[tier:2, items:]; TFT14_MissFortune[tier:2, items:TFT_Item_LastWhisper,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor]; TFT14_Sejuani[tier:1, items:TFT_Item_GargoyleStoneplate,TFT_Item_WarmogsArmor,TFT_Item_RedBuff]; TFT14_Zac[tier:1, items:TFT_Item_FrozenHeart]; TFT14_Aurora[tier:1, items:TFT_Item_StatikkShiv,TFT_Item_SpearOfShojin]; TFT14_SummonLevel2[tier:3, items:TFT14_Item_Nitro_ChromeCounter]"
